unique_id,tweet_id,a_hash,p_hash,w_hash
5327346445844480,1327172039669665794,6000007e7e7e0000,817e6a80d55f5a66,f4003c7e7f7f2600
6224547934109696,1327172094707187712,f9f8f8f0f0d3f9f9,cbd29ba4628d2d53,f8f8f8f0c081b939
5478141178937344,1327172494080446465,6c747e7c30e1e3bf,c250b56b5e71da07,28743c5c30c1e3ff
6254140300722176,1327173062207238144,ffffc0801f3f7fff,ab7881877e606397,f0f0c080003f3fff
4504283114373120,1327173190859165696,ffddde1e151200c3,bcd2e920876d943e,ffdd9e57150200c3
5628533753774080,1327173190859165696,ff0010f08981c1ff,ef0ea5f190e08c9d,ff0010f189a1c3ff
6193132974637056,1327173229417402368,ff9010000000febf,eea991e2b590ac9c,ff9091000091ffff
5419076788682752,1327173335894069249,fffff3e1e1d18901,ea9599c836cb6472,fffff3e1c1010101
5841289253748736,1327173363601575936,024f1f3f7fdb3800,99b266e5474a3e4c,020f5f3f7e7b3800
6588448475447296,1327173514701512704,03fffbc1ce3f0fff,bb788c0e72338dcc,01fbebc1dc0f0f21
5884761033670656,1327173514701512704,ffff00000000ffff,ab8181098d373fdd,ffff00000000ffff
5093112661671936,1327173617835077633,fbfff9f911830100,e9e1f29641a07d6c,fffff9f910030100
4670900196605952,1327173677004120064,ffffc0801f3f7fff,ab7881877e606397,f0f0c080003f3fff
4654459061796864,1327173852493799425,ffbf3f0181ffffff,af0fd2e0699a9625,c3031f0181fb0f0f
5117025160527872,1327174028017106946,ff3e3cf8f80878f8,ca8785e8e8e8fa70,ff3e38f838007878
6594768788258816,1327174181759270912,0000880808efffff,d96be6310ba67a09,0080d88808ffffff
5046656416350208,1327174250512461825,0100010101801fff,ae63956aaa0e629d,01e0ff890101bfff
6592772366663680,1327174452400963584,0000003fffffffff,875258b48f9f7074,0000003f03ffffff
6223336459730944,1327174561469751297,0000040cfcffffff,db1a25ad48a5a5d3,0000000cfcffffff
4675224087822336,1327174581157826562,818191c1e17f393f,ea7c05c1f0df82ca,c18181c1e37f393f
5896743120011264,1327174629736075264,030b0ffcfc080010,89ad2d75d6561b30,071f1ffcfc0c003d
6277802080862208,1327175003314343936,e7efc4e0e8c00002,f0e087cdc94732d9,ffefc4e0f8c0220a
5264949135802368,1327175249243369472,ff7b6b000000efff,a389815676f74ca3,ff7b49000000efff
4983474159091712,1327175311625252864,661f1f038181f47f,9681d256e552add6,7e0f1f038081f47f
6321260128632832,1327175561924407297,001c3c3c10fc3c01,9a0f39742cda9b61,083c3c3c38fc7c1f
5899047663566848,1327175658330419201,181818383c78dc2e,d91931cc27ee6466,181838383cfcfc7e
6180522640277504,1327175732116721664,00ff71115311f333,a07357163f4e5865,00ff51113731f733
4658798547435520,1327175779793383424,7c9cbcbc9c9cbc3c,da97839b83878707,7c8c9c9c9c9c9c3c
6580192004800512,1327176434322989057,bf87018183afffff,bf3e90c1e4c9c3e0,9f04018183a5ffef
5327883291590656,1327176655685693440,f8f0e0e0e0f860e4,f7fcf0c862e1c821,fcf0f0e0e0f8e0e4
5609358268301312,1327176686350249986,e7e7e30480813cfe,f2e38538112bebcc,e7e7e1808081d6fe
6338515470123008,1327177052299124739,8981818181830b83,ab5aa59adb85c22c,81818183b7fffb03
5705196772524032,1327177107995287559,ef6e0e4f0f0e0f00,b5c24eb16abc3a1c,ef6e0f5f0f070700
6235911587102720,1327177522287558662,ffcbc3c3c3c3c3c3,f982d68b17e2461e,efcbc3c381c1c1c3
5039642936082432,1327177765611737088,d3fb7b189c6cc848,c88c717b3d4d13f0,1bfb7b392c2dc808
4575540648345600,1327177813716328448,7e7e60606c604040,c1c7f0919ce1636e,7e7e7e707e604044
6264390508609536,1327177813716328448,7e7e6c7c68684040,c1c7f099b8d0736a,7e7e7e74786c4040
5138490601766912,1327177813716328448,7e7e607c606c4040,c1c7f0919ce0db66,7e7e707e6c6c4044
6229206136520704,1327178048215543808,00343c3cfeffff01,970e28e17a9171f6,00303c3cfefeff00
6198718537662464,1327178151965962240,001627846410dfff,b606ad5463ba45f1,0016a784e690dfff
4580237421576192,1327178219481608192,c8f8feff88000001,f9d07079b9b49254,dcf8feff9b800001
5002449886642176,1327178264083894273,7f1f07ff1fff1ebe,800000ddffffe716,0f06072f0fdf1e1c
4865044797980672,1327178737352204294,7f1f070d73236060,ab9950a5de5aa6e0,7f0f0f0b73636061
5427994751401984,1327178737352204294,0f0f2f3f3fb03000,87b3786c18e76d42,0f0f2f3f3fb07020
4526077883973632,1327179152621850624,f2fafafb80607810,c9b54c723cc01edd,fafafb7a80607810
5361012991590400,1327179406708793344,b8381c18f8ef0d88,9b8c76e6741ba6c0,b83c3c18f8ff0d88
5229041397268480,1327180108445179905,001c3e3e3e3c0000,97986ad2b563ca4c,0c3c3e7e7e3e3c00
5123488281001984,1327180147993305088,4e4e4e3e3e7e1e18,91f069c68f386771,4a4e4e3e3e3e1e18
5827175722778624,1327180202955452416,f900d8d890ec0300,dcd82323dcccd2a3,fff8d8d890fe0300
4637254496550912,1327180575598231552,ffdff1e024000000,c7ecb8b813c3c3c2,ffffffa82e200000
5635611054571520,1327180810064171009,0406060cdcfce87c,92366dcc30790e7d,040e0e0cccfcf8ff
6675892130545664,1327180943568760832,7f6f573f7f373301,86d329d349ce7833,3e1e173f3f373000
4563864377098240,1327181275321544706,7f5f7838e0f07410,d4999ee6251f4cc1,7e5f783ce0f07410
6252714237362176,1327181337271431169,34e7fafe3e1e3020,d7e76a144a4a5d0d,30f6fafe3e1e2020
5197183074697216,1327181516728889344,f800070f9cdc8c6d,9b24c3db8127e45b,f800070f9cdc8cff
5391151045541888,1327181601759850498,ffefc3c3c3c3c3c3,f982d68e4766e01d,ffefc3c181c1c1c0
5531888533897216,1327181686652555265,ffefc3c3c3c3c3c3,f982d68e4766e01d,ffefc3c181c1c1c0
4617094859587584,1327181712682602496,1f9fdfbf0b01007e,bc9a516d956e00f9,1f9fdf3f0b00007a
5180044813008896,1327181712682602496,ff6effec06060307,b2c92d1617e9dca1,ff67efe406040706
5039307324653568,1327181820283260928,00fffff38181bfff,bf65156a29445d55,00ffff810181a79f
5872526416674816,1327181968690221056,ffefc3c3c3c3c3c3,f982d68e4766e01d,ffefc3c181c1c1c0
5028101486542848,1327182001150046210,ffcbc3c3c3c3c3c3,f982d68307e6661e,efcbc3c381c1c1c3
6716951346806784,1327182011434414080,400000ffffc70000,e0c27eadc1d2b01f,f8004cffffff0000
6273435843952640,1327182367182770176,3b3b3b3b1a131b0a,8dcb313a47cb86cc,3b3b3b3b1a121f0a
6695648309018624,1327182437886152708,20207f787cfe7e00,c14367677ae0be81,00207f7e7afe7e00
5006798448754688,1327182437886152708,2e3ec1ef7e1c1604,91e9169796687a74,6a7ec16d7e1c2e04
5569748402176000,1327182437886152708,ffbe1c10b0f07820,cf9e61e76e8070c1,febc1e30baf07820
6132698355597312,1327182437886152708,f0fdf67630301000,c6e3794e0f24e471,f0fdfff630309010
6326936506728448,1327182742291812354,e3ffe0809f3f7fff,ef70808f7c606397,c3c3c080003f7fff
6186199018373120,1327182929114525697,809cbcbe9c1c1800,9eff646c338402e9,839cbebfbc3c1c00
5315731017170944,1327183189941608448,7e6e606e7e684044,c1971e999d6c686c,7e6e607e7e786040
5034256040460288,1327183189941608448,7e6e607e7e7c4c00,90873f98ad2c6c6e,7e6e607e7e7c4400
5931457528725504,1327183238058582016,e0c1c040c0b9fbff,e968f54e764b9062,e0c1c040c0bbfbff
4664820133527552,1327183270572814336,7f7f3d1d19191919,8ad2646d75d34c6c,7f3f1d1d19191909
4946295110238208,1327183319625134080,06f8f0e0e0e3f3fb,e05a9da532663d69,04f860e0e0e3f3fb
5280728040341504,1327183542292504577,ffffbddf98000100,999d213df4f34a41,ffff3fdf18000100
4541856226476032,1327183568578236417,1808ffffffbf0000,ddcc0a0f42988ff6,1802ffffefbe0000
6230706086739968,1327183609397084160,ffefefffe7c3c0c0,e1976bb4ca9d244a,e0e6e6e7c7c3c0c0
5245543668252672,1327183669677715457,08183e7efe7e6c4c,930e7bcaf081a6b5,88183e3e3e3e6c4e
6670329342590976,1327183816746803201,7e7e607e4e0e0000,c0c33c9d916d2f6a,7e7e767e7e0e0000
4629635761438720,1327183816746803201,7e7e606058000000,c0c19c9d9d656f68,fffef0fe7a004000
5544429435748352,1327183816746803201,7e7e706e400e0000,c0c39c9d2d8d1f6a,fefe7e7e601e0000
5152568565039104,1327183954454175745,cecedcecc4e4e0e0,f09f379033873e09,ceccdcdcc4e4e0e0
4871093588328448,1327183993540755456,ffe0e0e6c680e0c0,e186691f9ce20f56,ffe2e0f6c780e0c0
5574781030105088,1327184090597036033,00ff0000ff00feff,c059c5796a5b0aaf,007f2600ff005fff
5222759135182848,1327184557024694274,ff83ff7e00000200,94fe3c6bc191c239,ff87ffff01000e00
4979675998715904,1327184927046025216,ffff8381e79bc3c3,b6ced0c39b3c8c34,ffef81818581c3c3
4513483068538880,1327185101265002497,3fe7e3e7ff9f9f9f,b6679c8b99c31cc1,3c8062e0629f9f9f
6202332928802816,1327185107661193216,0000007e7e000000,d0e17a8ed0252f8f,81e4337eff1103d4
4693982919524352,1327185178582675456,0018183c3cff1800,991b66e61f58b119,183c3c7e7eff1800
5930430293344256,1327185526005194752,000000ffffffe7e7,ea1a06e8b8e5a5e5,000000dfffffe1e3
4663792898146304,1327185610608611329,0fff0fcfdb0200c0,b9b3430db01a1b7d,0fff8fc7cb0b00c0
4945267874856960,1327185662429302786,0cfc7efefe7efc00,d0d35ad225942fea,00fc587efe7c7c00
6634117735120896,1327185680787759104,f0f0f4f474c0c0e0,e4ce6829033fb3e1,f0f0f4f2f6c0e0e0
4898740829683712,1327185921578561536,1e061e02060e7e7e,941fc969e1b98927,1e1e1e06061e7e7e
6227750142607360,1327185934442508289,030003ff8f11bf03,aa236e4ab99ca473,130003ffff01ff03
5952654467399680,1327186451075899393,34e7fafe3e1e3020,d7e76a144a4a5d0d,30f6fafe3e1e2020
5560137406218240,1327186545628094466,7f0000ffff7f0041,aaa36e85857f807a,7f0000ffff7f0081
4539790615642112,1327186575961124865,c0000a17074706c0,b5484aa4b5b525fa,f800de170f7f06e4
4983807312658432,1327186866341351425,ffdbcbc38100ff00,f9b9c68646a67198,ffdbcbcb81813c00
